"Host","Host_Upham"
"artibeus lituratus","Artibeus lituratus"
"artibeus phaeotis","Dermanura phaeotis"
"artibeus planirostris","Artibeus planirostris"
"artibeus toltecus","Dermanura toltecus"
"barbastella barbastellus","Barbastella barbastellus"
"carollia brevicauda","Carollia brevicauda"
"carollia perspicillata","Carollia perspicillata"
"carollia subrufa","Carollia subrufa"
"chaerephon plicatus","Chaerephon plicatus"
"chaerephon pumilus","Chaerephon pumilus"
"chrotopterus auritus","Chrotopterus auritus"
"corynorhinus townsendii","Corynorhinus townsendii"
"cynomops abrasus","Cynomops abrasus"
"cynomops planirostris","Cynomops planirostris"
"cynopterus brachyotis","Cynopterus brachyotis"
"cynopterus sphinx","Cynopterus sphinx"
"dasypterus ega","Lasiurus xanthinus"
"dasypterus intermedius","Lasiurus intermedius"
"dasypterus xanthinus","Lasiurus xanthinus"
"desmodus rotundus","Desmodus rotundus"
"diaemus youngi","Diaemus youngi"
"diclidurus albus","Diclidurus albus"
"diphylla ecaudata","Diphylla ecaudata"
"dobsonia andersoni","Dobsonia anderseni"
"dobsonia moluccensis","Dobsonia moluccensis"
"eidolon dupreanum","Eidolon dupreanum"
"eidolon helvum","Eidolon helvum"
"eonycteris spelaea","Eonycteris spelaea"
"epomophorus gambianus","Epomophorus gambianus"
"epomophorus labiatus","Epomophorus labiatus"
"epomophorus wahlbergi","Epomophorus wahlbergi"
"epomops buettikoferi","Epomops buettikoferi"
"epomops dobsonii","Epomops dobsonii"
"epomops franqueti","Epomops franqueti"
"eptesicus brasiliensis","Eptesicus brasiliensis"
"eptesicus diminutus","Eptesicus diminutus"
"eptesicus furinalis","Eptesicus furinalis"
"eptesicus fuscus","Eptesicus fuscus"
"eptesicus serotinus","Eptesicus serotinus"
"euderma maculatum","Euderma maculatum"
"eumops auripendulus","Eumops auripendulus"
"eumops bonariensis","Eumops bonariensis"
"eumops glaucinus","Eumops glaucinus"
"eumops patagonicus","Eumops patagonicus"
"eumops perotis","Eumops perotis"
