"PaperID","IndividualID","Virus_ICTV","Virus_strain_isolate","Host_Upham","Host_order","aggression","lethargy","vocalization","sensitivity","appetite","skin_issue","weight_loss","movement","eye_nose","pneumonia","neural_damage","respiratory_damage","reproductive_damage","digestive_damage","external_damage","internal_damage","severity_rank","Susceptible_YN"
6,"7_6","Lyssavirus khujand","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"8_6","Lyssavirus khujand","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"9_6","Lyssavirus aravan","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"Y"
6,"10_6","Lyssavirus aravan","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"Y"
6,"11_6","Lyssavirus aravan","","Eptesicus_fuscus","Chiroptera",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"Y"
6,"12_6","Lyssavirus aravan","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"13_6","Lyssavirus aravan","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"14_6","Lyssavirus aravan","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"15_6","Lyssavirus aravan","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"16_6","Lyssavirus irkut","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Y"
6,"17_6","Lyssavirus irkut","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Y"
6,"18_6","Lyssavirus irkut","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Y"
6,"19_6","Lyssavirus irkut","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Y"
6,"20_6","Lyssavirus irkut","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Y"
6,"21_6","Lyssavirus irkut","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Y"
